State,firstyearmml,Male_2014,Male_2019,Female_2014,Female_2019,Young_2014p,Young_2019p,Middle_aged_2014p,Middle_aged_2019p,old_2014p,old_2019p,Unemployment_2014,Unemployment_2019,Conservative,Liberal,Catholic,Evangelical Protestant,Historically Black Protestant,Jewish,Mainline Protestant,Unaffiliated,Violent_Crime_2014,Violent_CrimePC_2014, Violent_Crimes_2019 , Violent_CrimesPC_2019 ,povertyp_2019,edu_attain_2014,edu_att_2019,Income_2014,Income_2019,relig_att_week,relig_att_year
Alabama,,0.484756183,0.483260778,0.515243817,0.516739222,0.241352026,0.236457935,0.390194017,0.380893032,0.14185244,0.161171361,6.1,3.2,0.390194017,0.380893032,0.07,0.49,0.16,0.01,0.13,0.12,"20,727",427.4,"25,046",510.8,14.4,0.846216,0.878,"42,278","53,800",0.51,0.33
Alaska,1998,0.523680433,0.521386928,0.476319567,0.478613072,0.278728424,0.26667259,0.386139569,0.374869625,0.085526897,0.113975217,6.4,5.6,0.386139569,0.374869625,0.16,0.22,0.03,0.01,0.12,0.31,"4,684",635.8,"6,343",867.1,11.7,0.866015,0.87,"67,629","80,200",0.3,0.34
Arizona,2010,0.497158941,0.49696904,0.502841059,0.50303096,0.248693505,0.246481076,0.366050791,0.361177801,0.146518497,0.168334474,7.5,4.8,0.366050791,0.361177801,0.21,0.26,0.01,0.02,0.12,0.27,"26,916",399.9,"33,141",455.3,11.4,0.828981,0.856,"49,254","63,900",0.34,0.32
Arkansas,2016,0.491093189,0.490958326,0.508906811,0.509041674,0.241317628,0.237034281,0.376917846,0.370414712,0.145683819,0.161840862,7.3,3.5,0.376917846,0.370414712,0.08,0.46,0.08,0.01,0.16,0.18,"14,243",480.1,"17,643",584.6,15.0,0.860216,0.886,"44,922","50,800",0.41,0.32
California,1996,0.496647172,0.497184226,0.503352828,0.502815774,0.264624541,0.258865896,0.384098576,0.380856324,0.118765664,0.137328543,8.1,4.1,0.384098576,0.380856324,0.28,0.2,0.02,0.02,0.1,0.27,"1,53,709",396.1,"1,74,331",441.2,11.0,0.870349,0.901,"60,487","81,200",0.31,0.35
Colorado,2000,0.502072765,0.50381681,0.497927235,0.49618319,0.25836559,0.262310688,0.3947318,0.385020949,0.115923606,0.135122013,6.1,2.7,0.3947318,0.385020949,0.16,0.26,0.02,0.01,0.15,0.29,"16,554",309.1,"21,938",381,9.2,0.866846,0.885,"60,940","77,600",0.3,0.31
Connecticut,2012,0.487659006,0.487875731,0.512340994,0.512124269,0.232993298,0.234521092,0.409132892,0.397583981,0.145884685,0.16460975,7.2,3.6,0.409132892,0.397583981,0.33,0.13,0.05,0.03,0.17,0.23,"8,522",236.9,"6,546",183.6,9.3,0.888847,0.901,"70,161","82,400",0.28,0.37
Delaware,2011,0.484058223,0.483477516,0.515941777,0.516522484,0.239591544,0.229162302,0.389320173,0.379673104,0.153156023,0.180628982,6.1,3.6,0.389320173,0.379673104,0.22,0.15,0.1,0.03,0.21,0.23,"4,576",489.1,"4,115",422.6,6.9,0.843928,0.891,"57,522","69,900",0.34,0.31
District of Columbia,2010,0.474890085,0.474263513,0.525109915,0.525736487,0.357140269,0.343362867,0.359549951,0.358670009,0.107729101,0.11484678,7.4,5.5,0.359549951,0.358670009,0.2,0.08,0.23,0.05,0.1,0.25,"8,199","1,244.40","7,403","1,049.00",13.6,0.888456,0.96,"68,277","91,900",0.28,0.33
Florida,2016,0.488957196,0.488741249,0.511042804,0.511258751,0.229122866,0.222770211,0.388623732,0.382176251,0.177976763,0.196862453,6.1,3.2,0.388623732,0.382176251,0.21,0.24,0.08,0.03,0.14,0.24,"1,07,521",540.5,"81,270",378.4,12.6,0.834614,0.858,"46,140","59,800",0.35,0.33
Georgia,,0.487442286,0.48603357,0.512557714,0.51396643,0.25097509,0.249879655,0.391640918,0.385040607,0.114045028,0.132437786,7.3,3.6,0.391640918,0.385040607,0.09,0.38,0.17,0.01,0.12,0.18,"38,097",377.3,"36,170",340.7,13.5,0.83744,0.85,"49,555","63,400",0.42,0.34
Hawaii,2000,0.502384524,0.500073453,0.497615476,0.499926547,0.24868685,0.235973308,0.382383506,0.373400279,0.150634341,0.177428468,4.6,2.5,0.382383506,0.373400279,0.2,0.25,0.02,0.01,0.11,0.26,"3,680",259.2,"4,042",285.5,8.8,0.906824,0.936,"71,223","86,500",0.28,0.38
Idaho,,0.501004836,0.501340466,0.498995164,0.498659534,0.242155658,0.238497201,0.366112198,0.362212902,0.13117125,0.151002342,5.4,2.9,0.366112198,0.362212902,0.1,0.21,0.01,0.01,0.16,0.27,"3,468",212.2,"4,000",223.8,9.3,0.864039,0.873,"53,438","60,000",0.35,0.28
Illinois,2013,0.490859206,0.491370419,0.509140794,0.508629581,0.249641177,0.243074851,0.39197041,0.386306514,0.129510723,0.149845551,8.7,4,0.39197041,0.386306514,0.28,0.2,0.07,0.02,0.16,0.22,"47,663",370,"51,561",406.9,9.8,0.874517,0.886,"54,916","70,200",0.34,0.33
Indiana,,0.492634725,0.493204395,0.507365275,0.506795605,0.243912926,0.243652947,0.386990411,0.375518087,0.132186087,0.149637883,6.4,3.3,0.386990411,0.375518087,0.18,0.31,0.05,0.01,0.16,0.26,"24,099",365.3,"24,966",370.8,10.8,0.832405,0.862,"48,060","60,100",0.37,0.32
Iowa,,0.496587711,0.497952502,0.503412289,0.502047498,0.243709779,0.238496135,0.377598855,0.368746177,0.146623892,0.163171974,4.3,2.7,0.377598855,0.368746177,0.18,0.28,0.02,0.01,0.3,0.21,"8,497",273.5,"8,410",266.6,9.2,0.897269,0.9,"57,810","64,700",0.36,0.33
Kansas,,0.497975676,0.498297472,0.502024324,0.501702528,0.250473802,0.245818336,0.371008197,0.364016718,0.132777907,0.151595743,4.8,3.3,0.371008197,0.364016718,0.18,0.31,0.02,0.01,0.24,0.2,"10,123",348.6,"11,968",410.8,8.5,0.864669,0.885,"53,444","62,800",0.37,0.35
Kentucky,,0.492537405,0.492656692,0.507462595,0.507343308,0.238840427,0.236733082,0.395888273,0.383399591,0.136904898,0.155921886,7.7,4.1,0.395888273,0.383399591,0.1,0.49,0.05,0.01,0.11,0.22,"9,340",211.6,"9,701",217.1,14.6,0.862663,0.877,"42,786","54,200",0.39,0.31
Louisiana,2017,0.489386012,0.487664112,0.510613988,0.512335888,0.257337781,0.244483838,0.379253891,0.374908417,0.126209164,0.147654209,4.9,4.6,0.379253891,0.374908417,0.26,0.27,0.22,0.01,0.08,0.13,"23,934",514.7,"25,537",549.3,18.4,0.803489,0.846,"42,406","51,700",0.46,0.33
Maine,1999,0.489768984,0.48958944,0.510231016,0.51041056,0.212299316,0.211962101,0.422097341,0.401993882,0.169070877,0.197218891,6.2,2.9,0.422097341,0.401993882,0.21,0.14,0.02,0.02,0.21,0.31,"1,700",127.8,"1,548",115.2,11.0,0.884435,0.883,"51,710","60,000",0.22,0.3
Maryland,2014,0.484489657,0.484455843,0.515510343,0.515544157,0.244570386,0.236578185,0.404344732,0.396348963,0.127456258,0.147425434,5.8,3.4,0.404344732,0.396348963,0.15,0.18,0.16,0.03,0.18,0.23,"26,661",446.1,"27,456",454.1,7.5,0.875284,0.886,"76,165","89,800",0.31,0.36
Massachusetts,2012,0.484851232,0.485392317,0.515148768,0.514607683,0.25493834,0.256423102,0.400763109,0.38958213,0.139971248,0.157829021,6.8,3,0.400763109,0.38958213,0.34,0.09,0.02,0.03,0.1,0.32,"26,399",391.4,"22,578",327.6,8.1,0.898683,0.913,"63,151","86,100",0.23,0.33
Michigan,2008,0.491450927,0.492500093,0.508549073,0.507499907,0.237057103,0.238769715,0.397803068,0.382541374,0.142750926,0.164061726,7.8,4.1,0.397803068,0.382541374,0.18,0.25,0.08,0.01,0.18,0.24,"42,348",427.3,"43,686",437.4,10.3,0.866577,0.877,"52,005","61,200",0.33,0.35
Minnesota,2014,0.49710672,0.498225948,0.50289328,0.501774052,0.243340263,0.236220555,0.391787571,0.382180788,0.132242993,0.151464315,4.7,3.3,0.391787571,0.382180788,0.22,0.19,0.02,0.01,0.29,0.2,"12,505",229.1,"13,332",236.4,6.8,0.889882,0.881,"67,244","75,900",0.34,0.36
Mississippi,,0.485650407,0.484616866,0.514349593,0.515383134,0.248470808,0.240764827,0.378046179,0.374210095,0.131927845,0.151812628,7.5,5.5,0.378046179,0.374210095,0.04,0.41,0.24,0.01,0.12,0.14,"8,338",278.5,"8,272",277.9,19.4,0.826191,0.853,"35,521","48,200",0.49,0.33
Missouri,,0.49055943,0.490867184,0.50944057,0.509132816,0.243165106,0.238633349,0.385797237,0.377587322,0.143024622,0.161028691,6,3.2,0.385797237,0.377587322,0.16,0.36,0.06,0.01,0.16,0.2,"26,856",442.9,"30,380",495,10.9,0.86911,0.896,"56,630","58,800",0.37,0.34
Montana,2004,0.502892249,0.503440378,0.497107751,0.496559622,0.237105735,0.23275554,0.388709316,0.372016452,0.153186954,0.179072735,5.3,3.5,0.388709316,0.372016452,0.17,0.28,0.01,0.01,0.14,0.3,"3,313",323.7,"4,328",404.9,10.0,0.871797,0.865,"51,102","59,700",0.31,0.31
Nebraska,,0.497989433,0.4996097,0.502010567,0.5003903,0.249232569,0.243264606,0.371139364,0.36250884,0.133722765,0.150169974,3.5,3.1,0.371139364,0.36250884,0.23,0.25,0.02,0.01,0.24,0.2,"5,275",280.4,"5,821",300.9,9.6,0.886581,0.912,"56,870","64,300",0.39,0.32
Nevada,2000,0.502898182,0.501541805,0.497101818,0.498458195,0.245342891,0.240640084,0.39134939,0.385762604,0.130945959,0.149682354,8.7,4.1,0.39134939,0.385762604,0.25,0.2,0.05,0.02,0.1,0.28,"18,045",635.6,"15,210",493.8,11.7,0.816955,0.858,"49,875","63,300",0.31,0.35
New Hampshire,2013,0.494422657,0.495541332,0.505577343,0.504458668,0.227396442,0.229954012,0.425539303,0.407503506,0.146866406,0.172941897,4.9,2.6,0.425539303,0.407503506,0.26,0.13,0.01,0.02,0.16,0.36,"2,602",196.1,"2,074",152.5,4.9,0.893652,0.89,"73,397","80,900",0.22,0.26
New Jersey,2010,0.48778564,0.488684322,0.51221436,0.511315678,0.229238566,0.227280885,0.410067206,0.401045801,0.138283439,0.154699911,7.1,3.5,0.410067206,0.401045801,0.34,0.13,0.06,0.06,0.12,0.18,"23,346",261.2,"18,375",206.9,7.3,0.874646,0.909,"65,243","88,200",0.35,0.38
New Mexico,2007,0.495219586,0.494762329,0.504780414,0.505237671,0.24769761,0.242010197,0.372726803,0.36408453,0.140238556,0.167794322,6.6,5,0.372726803,0.36408453,0.34,0.23,0.01,0.01,0.14,0.21,"12,459",597.4,"17,450",832.2,16.0,0.819373,0.842,"46,686","50,900",0.36,0.31
New York,2014,0.484946631,0.48566152,0.515053369,0.51433848,0.255672305,0.249745432,0.393949351,0.385478062,0.138176389,0.157949231,6.8,3.9,0.393949351,0.385478062,0.31,0.1,0.05,0.07,0.11,0.27,"75,398",381.8,"69,764",358.6,11.8,0.874632,0.898,"54,310","73,200",0.29,0.34
North Carolina,,0.486830667,0.4862913,0.513169333,0.5137087,0.241536222,0.242036486,0.394358458,0.384209261,0.13586191,0.155224157,6.7,3.9,0.394358458,0.384209261,0.09,0.35,0.12,0.01,0.19,0.2,"32,767",329.5,"38,995",371.8,12.9,0.867366,0.879,"46,784","58,100",0.39,0.36
North Dakota,2016,0.512250458,0.511811375,0.487749542,0.488188625,0.282645399,0.270367765,0.358494225,0.347285391,0.132166894,0.146153463,2.6,2.2,0.358494225,0.347285391,0.26,0.22,0.01,0.01,0.28,0.2,"1,960",265.1,"2,169",284.6,8.9,0.886684,0.906,"60,730","68,900",0.33,0.33
Ohio,2016,0.489445905,0.490248351,0.510554095,0.509751649,0.23569876,0.236478771,0.394687185,0.380702706,0.143756798,0.162708592,6.9,4.2,0.394687185,0.380702706,0.18,0.29,0.07,0.01,0.17,0.22,"33,030",284.9,"34,269",293.2,12.1,0.861388,0.877,"49,644","60,500",0.38,0.32
Oklahoma,,0.495495189,0.49549466,0.504504811,0.50450534,0.252301398,0.246962133,0.369975971,0.365204344,0.134373613,0.149216408,5.2,3.1,0.369975971,0.365204344,0.08,0.47,0.04,0.01,0.18,0.18,"15,744",406,"17,086",431.8,12.1,0.837055,0.852,"47,199","56,000",0.43,0.32
Oregon,1998,0.495046734,0.49569876,0.504953266,0.50430124,0.242073665,0.24088676,0.394962561,0.383568013,0.146154766,0.168687142,7,3.7,0.394962561,0.383568013,0.12,0.29,0.01,0.02,0.13,0.31,"9,224",232.3,"11,995",284.4,8.9,0.86785,0.867,"58,875","68,400",0.29,0.33
Pennsylvania,2016,0.489009301,0.490108295,0.510990699,0.509891705,0.23731848,0.234716887,0.396991222,0.38452767,0.155436374,0.174122474,6.4,4.3,0.396991222,0.38452767,0.24,0.19,0.05,0.01,0.23,0.21,"40,164",314.1,"39,228",306.4,10.2,0.877601,0.883,"55,173","65,700",0.34,0.35
Rhode Island,2006,0.48506633,0.486779294,0.51493367,0.513220706,0.255682163,0.255091513,0.397936996,0.387078626,0.146781623,0.164230135,9.2,3.5,0.397936996,0.387078626,0.42,0.14,0.02,0.01,0.14,0.2,"2,313",219.2,"2,342",221.1,9.0,0.883766,0.902,"58,633","69,400",0.36,0.28
South Carolina,,0.485719326,0.484225576,0.514280674,0.515774424,0.24190229,0.235511042,0.388223609,0.378784877,0.145622673,0.169311016,6.4,2.8,0.388223609,0.378784877,0.1,0.35,0.15,0.01,0.16,0.19,"24,052",497.7,"26,323",511.3,13.9,0.850807,0.876,"44,929","56,400",0.47,0.31
South Dakota,,0.503432341,0.505004753,0.496567659,0.494995247,0.244839123,0.235757507,0.369942612,0.359717134,0.140068235,0.158811474,3.6,2.8,0.369942612,0.359717134,0.22,0.25,0.01,0.01,0.32,0.18,"2,786",326.5,"3,530",399,10.6,0.814802,0.863,"53,053","60,700",0.36,0.37
Tennessee,,0.487752214,0.487941734,0.512247786,0.512058266,0.240329522,0.24123957,0.393633117,0.382715977,0.138894974,0.155532719,7.2,3.3,0.393633117,0.382715977,0.06,0.52,0.08,0.01,0.13,0.14,"39,848",608.4,"40,647",595.2,12.5,0.88039,0.889,"43,716","56,500",0.51,0.24
Texas,,0.496465943,0.496715447,0.503534057,0.503284553,0.26256151,0.258667705,0.372651569,0.37149342,0.105411842,0.119241454,5.7,3.5,0.372651569,0.37149342,0.23,0.31,0.06,0.01,0.13,0.18,"1,09,414",405.9,"1,21,474",418.9,12.4,0.839121,0.86,"53,875","65,400",0.42,0.33
Utah,2018,0.502919255,0.503723692,0.497080745,0.496276308,0.279239628,0.276035743,0.328471823,0.335318491,0.092497852,0.105555968,3.9,2.5,0.328471823,0.335318491,0.05,0.07,0.01,0.01,0.06,0.22,"6,346",215.6,"7,553",235.6,7.1,0.857014,0.903,"63,383","77,100",0.53,0.19
Vermont,2004,0.493466237,0.494104864,0.506533763,0.505895136,0.234857185,0.235872748,0.414272553,0.392149541,0.155642708,0.186004881,4,2.1,0.414272553,0.392149541,0.22,0.11,0.01,0.02,0.19,0.37,622,99.3,"1,262",202.2,9.2,0.921234,0.921,"60,708","65,600",0.21,0.32
Virginia,,0.491757363,0.492091576,0.508242637,0.507908424,0.25129452,0.245253276,0.398747057,0.389804885,0.127618445,0.147959017,5,2.8,0.398747057,0.389804885,0.12,0.3,0.12,0.01,0.16,0.2,"16,340",196.2,"17,753",208,9.3,0.890704,0.9,"66,155","78,300",0.44,0.32
Washington,1998,0.499358792,0.50059574,0.500641208,0.49940426,0.251793319,0.252171895,0.394141315,0.382346279,0.128702112,0.147170683,6.4,4.2,0.394141315,0.382346279,0.17,0.25,0.02,0.01,0.13,0.32,"20,136",285.2,"22,377",293.9,7.8,0.845521,0.859,"59,068","79,900",0.3,0.32
West Virginia,2017,0.494044031,0.495366731,0.505955969,0.504633269,0.222426843,0.216990013,0.405643397,0.389353664,0.164362156,0.190953644,5.9,5,0.405643397,0.389353664,0.06,0.39,0.02,0.01,0.29,0.18,"5,588",302,"5,674",316.6,14.9,0.8604,0.881,"39,552","47,600",0.46,0.31
Wisconsin,,0.496779898,0.497594133,0.503220102,0.502405867,0.238264634,0.233761173,0.397076601,0.386659943,0.140204728,0.162048724,6.1,3.2,0.397076601,0.386659943,0.25,0.22,0.04,0.01,0.18,0.25,"16,714",290.3,"17,070",293.2,8.5,0.891453,0.896,"58,080","65,600",0.27,0.41
Wyoming,,0.510513604,0.509244781,0.489486396,0.490755219,0.251473312,0.235255089,0.382886061,0.374753568,0.129459205,0.158093438,4.3,3.7,0.382886061,0.374753568,0.14,0.27,0.01,0.01,0.16,0.26,"1,142",195.5,"1,258",217.4,9.3,0.88059,0.882,"55,690","66,400",0.38,0.28
